mundial,num,fecha,etapa,local,goles_local,goles_visitante,visitante,url_partido,url,fecha_scraping
2026,26,18-Jun-2026,"1ra Ronda, Grupo B",Suiza,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,27,18-Jun-2026,"1ra Ronda, Grupo B",Canadá,,,Catar,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,28,18-Jun-2026,"1ra Ronda, Grupo A",México,,,Corea del Sur,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,29,19-Jun-2026,"1ra Ronda, Grupo C",Brasil,,,Haití,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,30,19-Jun-2026,"1ra Ronda, Grupo C",Escocia,,,Marruecos,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,31,19-Jun-2026,"1ra Ronda, Grupo D",Paraguay,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,32,19-Jun-2026,"1ra Ronda, Grupo D",Estados Unidos,,,Australia,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,33,20-Jun-2026,"1ra Ronda, Grupo E",Alemania,,,Costa de Marfil,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,34,20-Jun-2026,"1ra Ronda, Grupo E",Ecuador,,,Curazao,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,35,20-Jun-2026,"1ra Ronda, Grupo F",Paises Bajos,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,36,20-Jun-2026,"1ra Ronda, Grupo F",Túnez,,,Japón,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,37,21-Jun-2026,"1ra Ronda, Grupo H",España,,,Arabia Saudita,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,38,21-Jun-2026,"1ra Ronda, Grupo H",Uruguay,,,Cabo Verde,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,39,21-Jun-2026,"1ra Ronda, Grupo G",Bélgica,,,Irán,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,40,21-Jun-2026,"1ra Ronda, Grupo G",Nueva Zelanda,,,Egipto,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,41,22-Jun-2026,"1ra Ronda, Grupo I",Francia,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,42,22-Jun-2026,"1ra Ronda, Grupo I",Noruega,,,Senegal,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,43,22-Jun-2026,"1ra Ronda, Grupo J",Argentina,,,Austria,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,44,22-Jun-2026,"1ra Ronda, Grupo J",Jordania,,,Argelia,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,45,23-Jun-2026,"1ra Ronda, Grupo L",Inglaterra,,,Ghana,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,46,23-Jun-2026,"1ra Ronda, Grupo L",Panamá,,,Croacia,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,47,23-Jun-2026,"1ra Ronda, Grupo K",Portugal,,,Uzbekistán,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,48,23-Jun-2026,"1ra Ronda, Grupo K",Colombia,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,49,24-Jun-2026,"1ra Ronda, Grupo C",Escocia,,,Brasil,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,50,24-Jun-2026,"1ra Ronda, Grupo C",Marruecos,,,Haití,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,51,24-Jun-2026,"1ra Ronda, Grupo B",Suiza,,,Canadá,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,52,24-Jun-2026,"1ra Ronda, Grupo B",Catar,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
