id_jugador,source_url,nombre,nombre_completo,fecha_nacimiento,lugar_nacimiento,posicion,id_seleccion_actual,altura_cm,apodo,total_mundiales,total_partidos,total_goles,promedio_gol
5165,https://www.losmundialesdefutbol.com/jugadores/tae_ho_lee.php,Tae Ho Lee,,29 de enero de 1961,,Delantero,24,,,2,1,0,0
5166,https://www.losmundialesdefutbol.com/jugadores/woon_jae_lee.php,Woon Jae Lee,,26 de abril de 1973,,Arquero,24,182,,4,11,0,0
5167,https://www.losmundialesdefutbol.com/jugadores/yong_lee.php,Yong Lee,Yong Lee,24 de diciembre de 1986,,Defensor,24,180,,2,6,0,0
5168,https://www.losmundialesdefutbol.com/jugadores/young_jin_lee.php,Young Jin Lee,,27 de octubre de 1963,,Mediocampista,24,,,2,4,0,0
5169,https://www.losmundialesdefutbol.com/jugadores/young_pyo_lee.php,Young Pyo Lee,,23 de abril de 1977,,"Defensor, Mediocampista",24,177,,3,12,0,0
5170,https://www.losmundialesdefutbol.com/jugadores/ken_leek.php,Ken Leek,,26 de julio de 1935,,Delantero,41,,,1,0,0,0
5171,https://www.losmundialesdefutbol.com/jugadores/graham_leggatt.php,Graham Leggatt,,20 de junio de 1934,,Delantero,35,,,1,2,0,0
5172,https://www.losmundialesdefutbol.com/jugadores/german_leguia.php,German Leguia,,2 de enero de 1954,,Delantero,69,,,2,4,0,0
5173,https://www.losmundialesdefutbol.com/jugadores/victoriano_leguizamon.php,Victoriano Leguizamon,,1 de enero de 1923,,Mediocampista,68,,,1,2,0,0
5174,https://www.losmundialesdefutbol.com/jugadores/august_lehmann.php,August Lehmann,,26 de enero de 1909,,Defensor,82,,,1,3,0,0
5175,https://www.losmundialesdefutbol.com/jugadores/bill_lehmann.php,Bill Lehmann,,20 de diciembre de 1901,,Mediocampista,39,,,1,0,0,0
5176,https://www.losmundialesdefutbol.com/jugadores/stephan_lehmann.php,Stephan Lehmann,,15 de agosto de 1963,,Arquero,82,,,1,0,0,0
5177,https://www.losmundialesdefutbol.com/jugadores/jim_leighton.php,Jim Leighton,,24 de julio de 1958,,Arquero,35,,,4,9,0,0
5178,https://www.losmundialesdefutbol.com/jugadores/werner_leimgruber.php,Werner Leimgruber,,2 de septiembre de 1934,,Defensor,82,,,1,1,0,0
5179,https://www.losmundialesdefutbol.com/jugadores/leivinha.php,Leivinha,,11 de septiembre de 1949,,Delantero,12,,,1,3,0,0
5180,https://www.losmundialesdefutbol.com/jugadores/jacob_lekgetho.php,Jacob Lekgetho,,24 de marzo de 1974,,Defensor,80,171,,1,1,0,0
5181,https://www.losmundialesdefutbol.com/jugadores/ivan_leko.php,Ivan Leko,,7 de febrero de 1978,,Mediocampista,27,179,,1,0,0,0
5182,https://www.losmundialesdefutbol.com/jugadores/jerko_leko.php,Jerko Leko,,9 de abril de 1980,,Mediocampista,27,186,,1,2,0,0
5183,https://www.losmundialesdefutbol.com/jugadores/dragoje_lekovic.php,Dragoje Lekovic,,21 de noviembre de 1967,,Arquero,91,,,2,0,0,0
5184,https://www.losmundialesdefutbol.com/jugadores/thomas_lemar.php,Thomas Lemar,Thomas Lemar,12 de noviembre de 1995,,Mediocampista,40,170,,1,1,0,0
