url_original,id_jugador
dunga.php,780
martin_dahlin.php,781
florin_raducioiu.php,782
tomas_brolin.php,783
jose_luis_caminero.php,784
gheorghe_hagi.php,785
philippe_albert.php,786
daniel_amokachi.php,787
emmanuel_amunike.php,788
dino_baggio.php,789
claudio_caniggia.php,790
ilie_dumitrescu.php,791
luis_garcia_2.php,792
goikoetxea_2.php,793
wim_jonk.php,794
adrian_knup.php,795
iordan_letchkov.php,796
fahad_al_ghesheyan.php,797
john_aldridge.php,798
abel_balbo.php,799
txiki_beguiristain.php,800
marcelino_bernal.php,801
daniel_borimirov.php,802
branco.php,803
georges_bregy.php,804
mohammed_chaouch.php,805
stephane_chapuisat.php,806
marc_de_grijse.php,807
david_embe.php,808
herman_gaviria.php,809
finidi_george.php,810
georges_grun.php,811
pep_guardiola.php,812
ray_houghton.php,813
julio_salinas.php,814
roger_ljung.php,815
john_lozano.php,816
marcio_santos.php,817
daniele_massaro.php,818
hakan_mild.php,819
hassan_nader.php,820
francois_omam_biyik.php,821
dmitri_radchenko.php,822
rai.php,823
karlheinz_riedle.php,824
bryan_roy.php,825
erwin_sanchez.php,826
jung_won_seo.php,827
samson_siasia.php,828
nasko_sirakov.php,829
earnie_stewart.php,830
alain_sutter.php,831
gaston_taument.php,832
aron_winter.php,833
rasheed_yekini.php,834
michel_preudhomme.php,835
jorginho.php,836
paolo_maldini.php,837
krassimir_balakov.php,838
andreas_brehme.php,839
david_platt.php,840
gavril_balint.php,841
michal_bilek.php,842
davor_jozic.php,843
marius_lacatus.php,844
muller.php,845
darko_pancev.php,846
uwe_bein.php,847
pablo_bengoechea.php,848
jorge_burruchaga.php,849
paul_caligiuri.php,850
juan_cayasso.php,851
leo_clijsters.php,852
michel_de_wolf.php,853
igor_dobrovolskyi.php,854
eugene_ekeke.php,855
johnny_ekstrom.php,856
roger_flores.php,857
daniel_fonseca.php,858
giuseppe_giannini.php,859
ronald_gonzalez.php,860
alberto_gorriz.php,861
ruud_gullit.php,862
ivan_hasek.php,863
bo_kwan_hwang.php,864
mo_johnston.php,865
ali_thani_jumaa.php,866
khalid_ismail.php,867
wim_kieft.php,868
ronald_koeman.php,869
lubos_kubik.php,870
emmanuel_kunde.php,871
pierre_littbarski.php,872
milan_luhovy.php,873
stuart_mccall.php,874
hernan_medford.php,875
pedro_monzon.php,876
bruce_murray.php,877
andeas_ogris.php,878
oleg_protasov.php,879
niall_quinn.php,880
freddy_rincon.php,881
gerhard_rodax.php,882
aldo_serena.php,883
kevin_sheedy.php,884
glenn_stromberg.php,885
safet_susic.php,886
pedro_troglio.php,887
carlos_valderrama.php,888
patrick_vervoort.php,889
mark_wright.php,890
aleksandr_zavarov.php,891
andrei_zygmantovich.php,892
gabelo_conejo.php,893
sergio_goycochea.php,894
franco_baresi.php,895
paul_gascoigne.php,896
igor_belanov.php,897
preben_elkjaer_larsen.php,898
jorge_valdano.php,899
jesper_olsen.php,900
klaus_allofs.php,901
ramon_maria_caldere.php,902
josimar.php,903
jean_pierre_papin.php,904
fernando_quirarte.php,905
socrates.php,906
yannick_stopyra.php,907
sergei_aleinikov.php,908
antonio_alzamendi.php,909
manuel_amoros.php,910
peter_beardsley.php,911
oleg_blokhin.php,912
jose_brown.php,913
carlos_manuel.php,914
soon_ho_choi.php,915
colin_clarke.php,916
stephane_demol.php,917
lajos_detari.php,918
diamantino.php,919
edinho.php,920
eloy.php,921
john_eriksen.php,922
marton_esterhazy.php,923
luis_fernandez.php,924
jean_marc_ferreri.php,925
luis_flores.php,926
enzo_francescoli.php,927
bernard_genghini.php,928
plamen_getov.php,929
goikoetxea.php,930
jung_moo_huh.php,931
jong_boo_kim.php,932
abdelkarim_krimau.php,933
soren_lerby.php,934
manuel_negrete.php,935
chang_sun_park.php,936
pedro_pasculli.php,937
ahmed_radhi.php,938
vasili_rats.php,939
dominique_rocheteau.php,940
sergei_rodionov.php,941
oscar_ruggeri.php,942
juan_antonio_senor.php,943
raul_servin.php,944
wlodimierz_smolarek.php,945
jean_tigana.php,946
erwin_vandenbergh.php,947
frank_vercauteren.php,948
daniel_veyt.php,949
norman_whiteside.php,950
pavel_yakovenko.php,951
ivan_yaremchuk.php,952
harald_schumacher.php,953
jean_marie_pfaff.php,954
julio_cesar.php,955
gerry_armstrong.php,956
falcao.php,957
alain_giresse.php,958
laszlo_kiss.php,959
daniel_bertoni.php,960
eder.php,961
laszlo_fazekas.php,962
klaus_fischer.php,963
trevor_francis.php,964
billy_hamilton.php,965
tibor_nyilasi.php,966
antonin_panenka.php,967
daniel_passarella.php,968
gabor_poloskei.php,969
bryan_robson.php,970
serginho.php,971
didier_six.php,972
marco_tardelli.php,973
abdulaziz_al_balushi.php,974
faisal_al_dakhil.php,975
steve_archibald.php,976
osvaldo_ardiles.php,977
andrei_bal.php,978
sergei_baltacha.php,979
lakhdar_belloumi.php,980
tedj_bensaoula.php,981
maxime_bossis.php,982
paul_breitner.php,983
andrzej_buncol.php,984
antonio_cabrini.php,985
aleksandr_chivadze.php,986
wlodzimierz_ciolek.php,987
ludo_coeck.php,988
bruno_conti.php,989
alain_couriol.php,990
alex_czerniatynski.php,991
ramon_diaz.php,992
ruben_diaz.php,993
yuri_gavrilov.php,994
rene_girard.php,995
francesco_graziani.php,996
ivan_gudelj.php,997
reinhold_hintermaier.php,998
horst_hrubesch.php,999
juanito_2.php,1000
junior.php,1001
janusz_kupcewicz.php,1002
guillermo_la_rosa.php,1003
eduardo_laing.php,1004
juan_letelier.php,1005
lopez_ufarte.php,1006
stefan_majewski.php,1007
paul_mariner.php,1008
gregoire_mbida.php,1009
gustavo_moscoso.php,1010
david_narey.php,1011
miguel_neira.php,1012
khoren_oganesian.php,1013
oscar.php,1014
vladimir_petrovic.php,1015
bruno_pezzey.php,1016
luis_ramirez.php,1017
uwe_reinders.php,1018
john_robertson.php,1019
enrique_saura.php,1020
ramaz_shengelia.php,1021
gerard_soler.php,1022
lazar_szentes.php,1023
jozsef_toth_2.php,1024
marius_tresor.php,1025
jozsef_varga.php,1026
jesus_zamora.php,1027
hector_zelaya.php,1028
dino_zoff.php,1029
fulvio_collovati.php,1030
claudio_gentile.php,1031
luizinho.php,1032
leopoldo_luque.php,1033
dirceu.php,1034
roberto_dinamite.php,1035
roberto_bettega.php,1036
ernie_brandts.php,1037
heinz_flohe.php,1038
arie_haan.php,1039
dieter_mueller.php,1040
nelinho.php,1041
ruediger_abramczik.php,1042
juan_manuel_asensi.php,1043
romeo_benetti.php,1044
marc_berdoll.php,1045
franco_causio.php,1046
karoly_csapo.php,1047
cesar_cueto.php,1048
iraj_danayfar.php,1049
dani.php,1050
kazimierz_deyna.php,1051
mokhtar_douieb.php,1052
nejib_ghommidh.php,1053
bernd_hoelzenbein.php,1054
rene_houseman.php,1055
bernard_lacombe.php,1056
christian_lopez.php,1057
hansi_mueller.php,1058
dick_nanninga.php,1059
erich_obermayer.php,1060
victor_rangel.php,1061
reinaldo.php,1062
thomas_sjoberg.php,1063
alberto_tarantini.php,1064
andras_toth.php,1065
rene_van_de_kerkhof.php,1066
willy_van_de_kerkhof.php,1067
arturo_vasquez.php,1068
jose_velasquez.php,1069
renato_zaccarelli.php,1070
sandor_zombori.php,1071
ubaldo_fillol.php,1072
ruud_krol.php,1073
berti_vogts.php,1074
ralf_edstrom.php,1075
dusan_bajevic.php,1076
johan_cruyff.php,1077
stanislav_karasi.php,1078
wolfgang_overath.php,1079
roland_sandberg.php,1080
joachim_streich.php,1081
ivica_surjak.php,1082
hector_yazalde.php,1083
pietro_anastasi.php,1084
ruben_ayala.php,1085
carlos_babington.php,1086
vladislav_bogicevic.php,1087
hristo_bonev.php,1088
rainer_bonhof.php,1089
miguel_brindisi.php,1090
fabio_capello.php,1091
bernd_cullmann.php,1092
theo_de_jong.php,1093
dragan_dzajic.php,1094
jerzy_gorgon.php,1095
juergen_grabowski.php,1096
ramon_heredia.php,1097
uli_hoeness.php,1098
martin_hoffmann.php,1099
josip_katalinski.php,1100
peter_lorimer.php,1101
branko_oblak.php,1102
ricardo_pavoni.php,1103
ilija_petkovic.php,1104
gianni_rivera.php,1105
juergen_sparwasser.php,1106
conny_torstensson.php,1107
valdomiro.php,1108
wladyslaw_zmuda.php,1109
sepp_maier.php,1110
anatoly_bishovets.php,1111
gigi_riva.php,1112
roberto_boninsegna.php,1113
florea_dumitrache.php,1114
alberto_gallardo.php,1115
raoul_lambert.php,1116
ladislav_petras.php,1117
tostao.php,1118
wilfried_van_moer.php,1119
kakhi_asatiani.php,1120
juan_ignacio_basaguren.php,1121
tarcisio_burgnich.php,1122
carlos_alberto.php,1123
roberto_challe.php,1124
hector_chumpitaz.php,1125
allan_clarke.php,1126
clodoaldo.php,1127
luis_cubilla.php,1128
emerich_dembrovschi.php,1129
dinko_dermendzhiev.php,1130
angelo_domenghini.php,1131
