id_mundial,id_seleccion,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif
9,75,10,Grupos 1ra Ronda,2,3,1,0,2,4,5,-1
9,55,12,Grupos 1ra Ronda,2,3,0,2,1,1,3,-2
9,13,13,Grupos 1ra Ronda,1,3,0,1,2,5,9,-4
9,61,14,Grupos 1ra Ronda,1,3,0,1,2,2,6,-4
9,19,15,Grupos 1ra Ronda,0,3,0,0,3,2,7,-5
9,33,16,Grupos 1ra Ronda,0,3,0,0,3,0,9,-9
8,49,1,Final,11,6,5,1,0,11,3,8
8,2,2,Final,9,6,4,1,1,15,6,9
8,71,3,Partido 3er Puesto,10,6,5,0,1,17,8,9
8,87,4,Partido 3er Puesto,8,6,4,0,2,10,6,4
8,7,5,Cuartos de Final,5,4,2,1,1,4,2,2
8,46,6,Cuartos de Final,4,4,2,0,2,8,7,1
8,89,7,Cuartos de Final,4,4,1,2,1,2,5,-3
8,23,8,Cuartos de Final,3,4,1,1,2,5,9,-4
8,56,9,Grupos 1ra Ronda,2,3,1,0,2,2,2,0
8,38,10,Grupos 1ra Ronda,2,3,1,0,2,4,5,-1
8,12,11,Grupos 1ra Ronda,2,3,1,0,2,4,6,-2
8,62,12,Grupos 1ra Ronda,2,3,0,2,1,1,3,-2
8,20,13,Grupos 1ra Ronda,1,3,0,1,2,2,5,-3
8,40,13,Grupos 1ra Ronda,1,3,0,1,2,2,5,-3
8,13,15,Grupos 1ra Ronda,0,3,0,0,3,1,8,-7
8,82,16,Grupos 1ra Ronda,0,3,0,0,3,1,9,-8
7,12,1,Final,11,6,5,1,0,14,5,9
7,19,2,Final,7,6,3,1,2,7,7,0
7,20,3,Partido 3er Puesto,8,6,4,0,2,10,8,2
7,91,4,Partido 3er Puesto,6,6,3,0,3,10,7,3
7,46,5,Cuartos de Final,5,4,2,1,1,8,3,5
7,87,6,Cuartos de Final,5,4,2,1,1,9,7,2
7,2,7,Cuartos de Final,5,4,2,1,1,4,2,2
7,49,8,Cuartos de Final,3,4,1,1,2,5,6,-1
7,56,9,Grupos 1ra Ronda,3,3,1,1,1,3,2,1
7,7,10,Grupos 1ra Ronda,3,3,1,1,1,2,3,-1
7,62,11,Grupos 1ra Ronda,2,3,1,0,2,3,4,-1
7,38,12,Grupos 1ra Ronda,2,3,1,0,2,2,3,-1
7,89,13,Grupos 1ra Ronda,2,3,1,0,2,4,6,-2
7,22,14,Grupos 1ra Ronda,1,3,0,1,2,5,11,-6
7,13,15,Grupos 1ra Ronda,1,3,0,1,2,1,7,-6
7,82,16,Grupos 1ra Ronda,0,3,0,0,3,2,8,-6
6,12,1,Final,11,6,5,1,0,16,4,12
6,81,2,Final,9,6,4,1,1,12,7,5
6,40,3,Partido 3er Puesto,8,6,4,0,2,23,15,8
6,2,4,Partido 3er Puesto,6,6,2,2,2,12,14,-2
6,41,5,Cuartos de Final,5,5,1,3,1,4,4,0
6,87,6,Cuartos de Final,5,5,2,1,2,5,6,-1
6,52,7,Cuartos de Final,5,5,2,1,2,6,10,-4
6,91,8,Cuartos de Final,4,4,1,2,1,7,7,0
6,19,9,Grupos 1ra Ronda,3,4,1,1,2,9,6,3
6,46,10,Grupos 1ra Ronda,3,4,1,1,2,7,5,2
6,49,11,Grupos 1ra Ronda,3,4,0,3,1,4,5,-1
6,68,12,Grupos 1ra Ronda,3,3,1,1,1,9,12,-3
6,7,13,Grupos 1ra Ronda,2,3,1,0,2,5,10,-5
6,35,14,Grupos 1ra Ronda,1,3,0,1,2,4,6,-2
6,9,15,Grupos 1ra Ronda,1,3,0,1,2,2,7,-5
6,62,16,Grupos 1ra Ronda,1,3,0,1,2,1,8,-7
5,2,1,Final,10,6,5,0,1,25,14,11
5,46,2,Final,8,5,4,0,1,27,10,17
5,9,3,Partido 3er Puesto,8,5,4,0,1,17,12,5
5,89,4,Partido 3er Puesto,6,5,3,0,2,16,9,7
5,82,5,Cuartos de Final,4,4,2,0,2,11,11,0
5,12,6,Cuartos de Final,3,3,1,1,1,8,5,3
5,49,7,Cuartos de Final,3,3,1,1,1,8,8,0
5,91,8,Cuartos de Final,3,3,1,1,1,2,3,-1
5,40,9,Grupos 1ra Ronda,2,2,1,0,1,3,3,0
5,56,10,Grupos 1ra Ronda,2,3,1,0,2,6,7,-1
5,85,11,Grupos 1ra Ronda,2,3,1,0,2,10,11,-1
5,14,12,Grupos 1ra Ronda,1,2,0,1,1,5,8,-3
5,62,13,Grupos 1ra Ronda,0,2,0,0,2,2,8,-6
5,19,14,Grupos 1ra Ronda,0,2,0,0,2,0,7,-7
5,35,15,Grupos 1ra Ronda,0,2,0,0,2,0,8,-8
5,24,16,Grupos 1ra Ronda,0,2,0,0,2,0,16,-16
4,89,1,Ronda Final,7,4,3,1,0,15,5,10
4,12,2,Ronda Final,9,6,4,1,1,22,6,16
4,81,3,Ronda Final,5,5,2,1,2,11,15,-4
4,38,4,Ronda Final,7,6,3,1,2,10,12,-2
4,91,5,Grupos 1ra Ronda,4,3,2,0,1,7,3,4
4,82,6,Grupos 1ra Ronda,3,3,1,1,1,4,6,-2
4,56,7,Grupos 1ra Ronda,2,2,1,0,1,4,3,1
4,49,8,Grupos 1ra Ronda,2,3,1,0,2,2,2,0
4,20,9,Grupos 1ra Ronda,2,3,1,0,2,5,6,-1
4,39,10,Grupos 1ra Ronda,2,3,1,0,2,4,8,-4
4,68,11,Grupos 1ra Ronda,1,2,0,1,1,2,4,-2
4,62,12,Grupos 1ra Ronda,0,3,0,0,3,2,10,-8
4,10,13,Grupos 1ra Ronda,0,1,0,0,1,0,8,-8
3,56,1,Final,8,4,4,0,0,11,5,6
3,46,2,Final,6,4,3,0,1,15,5,10
3,12,3,Partido 3er Puesto,7,5,3,1,1,14,11,3
3,81,4,Partido 3er Puesto,2,3,1,0,2,11,9,2
3,19,5,Cuartos de Final,3,3,1,1,1,5,3,2
3,82,6,Cuartos de Final,3,3,1,1,1,5,5,0
3,28,7,Cuartos de Final,3,3,1,1,1,5,12,-7
3,40,8,Cuartos de Final,2,2,1,0,1,4,4,0
3,75,9,Octavos de Final,1,2,0,1,1,4,5,-1
3,1,10,Octavos de Final,1,2,0,1,1,3,5,-2
3,70,11,Octavos de Final,0,1,0,0,1,5,6,-1
3,64,12,Octavos de Final,0,1,0,0,1,1,2,-1
3,14,13,Octavos de Final,0,1,0,0,1,1,3,-2
3,66,14,Octavos de Final,0,1,0,0,1,0,3,-3
3,47,15,Octavos de Final,0,1,0,0,1,0,6,-6
3,9,16,Octavos de Final,0,0,0,0,0,0,0,0
2,56,1,Final,9,5,4,1,0,12,3,9
2,19,2,Final,6,4,3,0,1,9,6,3
2,1,3,Partido 3er Puesto,6,4,3,0,1,11,8,3
2,9,4,Partido 3er Puesto,4,4,2,0,2,7,7,0
2,38,5,Cuartos de Final,3,3,1,1,1,4,3,1
2,46,6,Cuartos de Final,2,2,1,0,1,5,4,1
2,82,7,Cuartos de Final,2,2,1,0,1,5,5,0
2,81,8,Cuartos de Final,2,2,1,0,1,4,4,0
2,7,9,Octavos de Final,0,1,0,0,1,2,3,-1
2,40,9,Octavos de Final,0,1,0,0,1,2,3,-1
2,66,9,Octavos de Final,0,1,0,0,1,2,3,-1
2,75,12,Octavos de Final,0,1,0,0,1,1,2,-1
2,32,13,Octavos de Final,0,1,0,0,1,2,4,-2
2,12,14,Octavos de Final,0,1,0,0,1,1,3,-2
2,14,15,Octavos de Final,0,1,0,0,1,2,5,-3
2,39,16,Octavos de Final,0,1,0,0,1,1,7,-6
1,89,1,Final,8,4,4,0,0,15,3,12
1,7,2,Final,8,5,4,0,1,18,9,9
1,39,3,Partido 3er Puesto,4,3,2,0,1,7,6,1
1,91,4,Partido 3er Puesto,4,3,2,0,1,7,7,0
1,20,5,Grupos 1ra Ronda,4,3,2,0,1,5,3,2
1,12,6,Grupos 1ra Ronda,2,2,1,0,1,5,2,3
1,40,7,Grupos 1ra Ronda,2,3,1,0,2,4,3,1
1,75,8,Grupos 1ra Ronda,2,2,1,0,1,3,5,-2
1,68,9,Grupos 1ra Ronda,2,2,1,0,1,1,3,-2
1,69,10,Grupos 1ra Ronda,0,2,0,0,2,1,4,-3
1,14,11,Grupos 1ra Ronda,0,2,0,0,2,0,4,-4
1,10,12,Grupos 1ra Ronda,0,2,0,0,2,0,8,-8
1,62,13,Grupos 1ra Ronda,0,3,0,0,3,4,13,-9
