id_jugador,id_mundial,id_seleccion,camiseta,posicion,jugados,titular,capitan,no_jugo,goles,promedio_gol,tarjetas_amarillas,tarjetas_rojas,pg,pe,pp,posicion_final
91,22,18,9,Delantero,3,0,0,0,1,0.33,0,0,0,0,3,32
92,21,22,13,Defensor,3,3,0,1,3,1.00,0,0,2,1,0,9
93,20,22,21,Delantero,3,2,0,2,2,0.67,0,0,3,0,0,5
94,20,22,20,Mediocampista,3,1,0,2,1,0.33,0,0,2,0,1,5
94,21,22,20,Mediocampista,4,4,0,0,1,0.25,0,0,2,1,1,9
95,14,22,11,Mediocampista,3,2,0,1,2,0.67,0,0,1,0,2,14
96,15,22,11,Delantero,3,2,0,0,2,0.67,0,0,1,0,2,19
96,16,22,9,Delantero,3,1,0,0,0,0.00,0,0,1,0,2,21
97,17,24,19,Mediocampista,7,4,0,0,2,0.29,1,0,3,2,2,4
97,18,24,9,Delantero,3,0,0,0,1,0.33,1,0,1,1,1,17
97,19,24,9,Delantero,0,0,0,4,0,0.00,0,0,0,0,0,15
98,17,24,21,Mediocampista,7,7,0,0,1,0.14,1,0,3,2,2,4
98,18,24,7,Mediocampista,3,3,0,0,1,0.33,0,0,1,1,1,17
98,19,24,7,Mediocampista,4,4,0,0,1,0.25,0,0,1,1,2,15
99,20,24,9,Delantero,3,3,0,0,1,0.33,1,0,0,1,2,27
99,21,24,7,Delantero,3,3,1,0,2,0.67,1,0,1,0,2,19
99,22,24,7,Mediocampista,4,4,0,0,0,0.00,0,0,1,1,2,16
100,19,24,17,Mediocampista,4,4,0,0,2,0.50,1,0,1,1,2,15
100,20,24,17,Mediocampista,3,3,0,0,0,0.00,0,0,0,1,2,27
101,19,24,14,Defensor,4,4,0,0,2,0.50,0,0,1,1,2,15
102,16,24,6,Defensor,3,3,0,0,1,0.33,0,0,0,1,2,30
102,17,24,6,Mediocampista,7,7,0,0,1,0.14,1,0,3,2,2,4
103,20,26,12,Delantero,3,2,0,0,2,0.67,0,0,1,0,2,21
104,18,26,15,Delantero,3,1,0,0,2,0.67,1,0,1,0,2,19
104,19,26,15,Delantero,3,2,0,0,0,0.00,0,0,1,1,1,17
105,18,26,11,Delantero,2,2,0,1,1,0.50,2,0,0,0,2,19
105,19,26,11,Delantero,3,2,0,0,1,0.33,0,0,1,1,1,17
105,20,26,11,Delantero,3,1,1,0,0,0.00,1,0,1,0,2,21
106,19,26,10,Delantero,3,2,0,0,0,0.00,0,0,1,1,1,17
106,20,26,10,Delantero,3,3,0,0,2,0.67,0,0,1,0,2,21
107,18,26,22,Mediocampista,1,1,0,2,0,0.00,0,0,0,0,1,19
107,19,26,13,Mediocampista,3,1,0,0,1,0.33,0,0,1,1,1,17
108,18,26,19,Mediocampista,3,3,0,0,0,0.00,0,0,1,0,2,19
108,19,26,19,Mediocampista,3,3,0,0,1,0.33,0,0,1,1,1,17
108,20,26,19,Mediocampista,3,3,0,0,0,0.00,0,0,1,0,2,21
109,20,27,4,Mediocampista,3,3,0,0,2,0.67,0,0,1,0,2,19
109,21,27,4,Delantero,7,7,0,0,3,0.43,0,0,4,2,1,2
109,22,27,4,Delantero,7,7,0,0,1,0.14,0,0,2,4,1,3
110,14,91,20,Delantero,0,0,0,5,0,0.00,0,0,0,0,0,5
110,16,91,9,Delantero,7,7,1,0,6,0.86,1,0,5,0,2,3
110,17,91,9,Delantero,1,1,1,2,0,0.00,0,0,0,0,1,23
111,20,27,17,Delantero,2,2,0,1,2,1.00,0,0,1,0,1,19
111,21,27,17,Delantero,6,6,0,1,3,0.50,2,0,3,2,1,2
112,21,27,9,Delantero,7,3,0,0,1,0.14,0,0,4,2,1,2
112,22,27,9,Delantero,7,7,0,0,2,0.29,0,0,2,4,1,3
113,17,27,18,Delantero,2,1,0,1,1,0.50,0,0,1,0,1,23
113,18,27,18,Delantero,3,1,0,0,0,0.00,0,0,0,2,1,22
113,20,27,18,Delantero,3,3,0,0,1,0.33,0,0,1,0,2,19
114,14,91,15,Mediocampista,3,1,0,2,1,0.33,0,0,1,1,1,5
114,16,91,8,Mediocampista,5,4,0,2,2,0.40,1,0,3,0,2,3
114,17,91,8,Mediocampista,1,1,0,2,0,0.00,0,0,0,0,1,23
115,17,31,11,Delantero,3,3,0,0,1,0.33,1,0,1,0,2,24
115,18,31,11,Delantero,3,3,0,1,2,0.67,0,0,2,0,1,12
116,17,31,18,Delantero,3,1,0,0,0,0.00,1,0,1,0,2,24
116,18,31,21,Delantero,3,3,0,1,2,0.67,1,0,2,0,1,12
117,22,31,23,Mediocampista,3,3,0,0,1,0.33,1,0,1,1,1,18
118,17,31,9,Delantero,2,1,0,1,0,0.00,1,0,1,0,1,24
118,18,31,10,Delantero,4,1,0,0,1,0.25,0,0,2,0,2,12
