id_mundial,id_partido,id_jugador,id_seleccion,minuto,tipo_gol
21,84,9,71,4,normal
21,85,367,38,54,normal
21,87,389,30,7,normal
21,87,69,8,38,penal
21,89,370,63,49,normal
21,89,370,63,75,normal
21,90,371,12,90,normal
21,90,15,12,90,normal
21,91,242,78,5,normal
21,91,434,82,52,normal
21,91,216,82,90,normal
21,92,427,81,32,normal
21,92,423,1,48,normal
21,92,405,1,90,normal
21,93,48,62,26,penal
21,93,45,62,66,normal
21,93,99,24,90,normal
21,94,84,14,6,penal
21,94,80,14,16,normal
21,94,382,86,18,normal
21,94,80,14,45,normal
21,94,84,14,51,normal
21,94,250,14,90,normal
21,94,221,86,90,normal
21,97,205,77,11,normal
21,97,164,58,34,normal
21,97,208,77,71,normal
21,97,161,58,78,normal
21,98,27,89,10,normal
21,98,356,89,23,autogol
21,98,46,89,90,normal
21,100,419,71,45,normal
21,100,375,53,90,penal
21,101,381,61,14,normal
21,101,400,38,19,normal
21,101,167,61,81,normal
21,101,376,38,90,normal
21,103,383,69,18,normal
21,103,398,69,50,normal
21,105,378,27,53,normal
21,105,426,54,76,penal
21,105,109,27,90,normal
21,106,416,12,36,normal
21,106,40,12,68,normal
21,107,388,82,31,normal
21,107,433,25,56,normal
21,107,387,82,88,normal
21,107,7464,25,90,autogol
21,108,284,24,90,normal
21,108,99,24,90,normal
21,109,377,81,50,normal
21,109,369,81,62,penal
21,109,1770,81,74,autogol
21,110,401,14,51,normal
21,112,379,70,59,normal
21,114,46,89,7,normal
21,114,32,71,55,normal
21,114,46,89,62,normal
21,116,4366,38,12,autogol
21,116,368,76,41,penal
21,117,402,30,1,normal
21,117,111,27,4,normal
21,118,15,12,51,normal
21,118,424,12,88,normal
21,119,399,58,48,normal
21,119,164,58,52,normal
21,119,431,14,69,normal
21,119,391,14,74,normal
21,119,384,14,90,normal
21,120,394,81,66,normal
21,123,461,14,13,autogol
21,123,386,14,31,normal
21,123,422,12,76,normal
21,124,356,76,31,normal
21,124,112,27,39,normal
21,124,432,27,101,normal
21,124,392,76,115,normal
21,125,409,49,30,normal
21,125,374,49,59,normal
21,127,428,49,5,normal
21,127,109,27,68,normal
21,127,111,27,109,normal
21,128,412,14,4,normal
21,128,84,14,82,normal
20,130,438,27,11,autogol
20,130,15,12,29,normal
20,130,15,12,71,penal
20,130,443,12,90,normal
20,131,484,62,61,normal
20,132,446,38,27,penal
20,132,191,66,44,normal
20,132,189,66,53,normal
20,132,455,66,65,normal
20,132,191,66,72,normal
20,132,189,66,80,normal
20,133,445,20,12,normal
20,133,494,20,14,normal
20,133,68,8,35,normal
20,133,450,20,90,normal
20,134,448,22,5,normal
20,134,465,22,58,normal
20,134,22,22,90,normal
20,136,46,89,24,penal
20,136,453,25,54,normal
20,136,457,25,57,normal
20,136,492,25,84,normal
20,137,474,56,35,normal
20,137,491,49,37,normal
20,137,449,56,50,normal
20,138,21,31,22,normal
20,138,478,82,48,normal
20,138,489,82,90,normal
20,139,17,40,45,penal
20,139,7941,40,48,autogol
20,139,17,40,72,normal
20,143,136,39,1,normal
20,143,144,42,82,normal
20,143,452,39,86,normal
20,144,459,6,25,penal
20,144,391,14,70,normal
20,144,411,14,80,normal
20,145,473,24,68,normal
20,145,469,76,74,normal
20,147,113,27,11,normal
20,147,109,27,48,normal
20,147,111,27,61,normal
20,147,111,27,73,normal
20,148,496,20,20,normal
20,148,447,20,43,normal
20,149,189,66,20,normal
20,149,68,8,21,normal
20,149,69,8,54,penal
20,149,191,66,58,normal
20,149,262,66,68,normal
20,152,27,89,39,normal
20,152,486,49,75,normal
20,152,27,89,85,normal
20,153,444,25,44,normal
20,154,14,40,17,normal
20,154,477,40,18,normal
20,154,493,40,40,normal
20,154,17,40,67,normal
20,154,490,40,73,normal
20,154,388,82,81,normal
20,154,434,82,87,normal
20,155,454,45,31,normal
20,155,21,31,34,normal
20,155,21,31,65,normal
20,157,480,63,29,normal
20,159,479,71,5,normal
20,159,468,39,64,normal
20,159,136,39,81,normal
20,159,495,71,90,normal
20,160,481,14,88,normal
20,162,15,12,17,normal
20,162,476,16,26,normal
20,162,15,12,34,normal
20,162,462,12,49,normal
20,162,461,12,84,normal
20,163,174,62,72,normal
20,163,464,62,75,normal
20,163,45,62,82,normal
20,163,109,27,87,normal
20,164,129,38,36,normal
20,164,355,38,69,normal
20,164,475,38,82,normal
20,165,460,66,77,normal
20,165,262,66,90,normal
20,166,385,22,17,penal
20,166,165,58,45,normal
20,166,93,22,55,normal
20,166,93,22,82,normal
20,166,22,22,90,normal
20,168,42,89,81,normal
20,170,216,82,6,normal
20,170,216,82,31,normal
20,170,216,82,71,normal
20,173,458,11,23,normal
20,173,485,11,59,normal
20,173,156,53,82,normal
20,173,497,11,83,normal
20,175,2408,71,31,autogol
20,175,143,42,57,normal
20,175,9,71,80,normal
20,176,431,14,78,normal
20,178,440,12,18,normal
20,178,445,20,32,normal
20,179,22,22,28,normal
20,179,22,22,50,normal
20,180,456,62,48,normal
20,180,190,66,88,normal
20,180,466,66,90,penal
20,181,444,25,52,normal
20,181,483,43,90,normal
20,182,418,40,79,normal
20,182,8336,40,90,autogol
20,185,386,14,93,normal
20,185,80,14,105,normal
20,185,463,39,107,normal
20,186,40,12,7,normal
20,186,440,12,69,normal
20,186,22,22,80,penal
20,192,191,66,3,penal
20,192,252,66,17,normal
20,192,498,66,90,normal
19,197,101,24,7,normal
19,197,98,24,52,normal
19,198,523,49,4,normal
19,198,136,39,40,normal
19,199,534,37,79,normal
19,201,143,42,85,penal
19,202,1582,66,46,autogol
19,202,535,66,85,normal
19,203,161,58,39,normal
19,204,509,68,39,normal
19,204,516,56,63,normal
19,207,538,12,55,normal
19,207,502,12,72,normal
19,207,528,23,89,normal
19,208,450,20,34,normal
19,209,521,82,52,normal
19,211,45,62,64,normal
19,211,44,62,79,penal
19,212,507,63,16,normal
19,212,551,43,44,normal
19,212,553,43,71,normal
19,215,512,37,13,normal
19,215,537,37,42,normal
19,215,135,39,48,normal
19,215,514,39,82,normal
19,217,70,8,11,normal
19,217,143,42,25,penal
19,218,190,66,53,normal
19,219,503,16,10,normal
19,219,511,30,33,normal
19,219,550,30,61,normal
19,220,556,68,27,normal
19,220,549,68,86,normal
19,222,501,12,25,normal
19,222,501,12,50,normal
19,222,502,12,62,normal
19,222,105,26,79,normal
19,223,540,71,29,normal
19,223,552,71,53,normal
19,223,510,71,56,normal
19,223,506,71,60,normal
19,223,536,71,81,normal
19,223,9,71,87,normal
19,223,506,71,89,normal
19,224,524,20,75,normal
19,225,129,38,17,normal
19,225,129,38,51,normal
19,226,27,89,43,normal
19,228,507,63,12,normal
19,228,101,24,38,normal
19,228,544,24,49,normal
19,228,508,63,69,penal
19,230,517,49,23,normal
19,231,135,39,90,normal
19,233,68,8,69,normal
19,233,70,8,73,normal
19,233,543,78,84,normal
19,234,500,36,25,normal
19,234,500,36,73,normal
19,234,519,56,81,normal
19,234,533,36,89,normal
19,234,548,56,90,normal
19,236,161,58,17,normal
19,236,520,58,30,normal
19,236,365,30,81,normal
19,236,165,58,87,normal
19,237,191,66,36,normal
19,237,503,16,65,penal
19,237,466,66,83,normal
19,239,108,26,14,normal
19,239,107,26,20,normal
19,239,531,26,82,normal
19,240,129,38,24,normal
19,240,504,38,37,normal
19,240,541,20,47,normal
19,242,27,89,8,normal
19,242,100,24,68,normal
19,242,27,89,80,normal
19,243,513,42,5,normal
