mundial,url_partido,seleccion,jugador,minuto,tipo_gol,fecha_scraping
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_argentina.php,Rumania,Gheorghe Hagi,58,normal,2026-03-17T00:05:29.836865
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_argentina.php,Argentina,Abel Balbo,75,normal,2026-03-17T00:05:29.836865
1994,https://www.losmundialesdefutbol.com/partidos/1994_holanda_irlanda.php,Paises Bajos,Dennis Bergkamp,11,normal,2026-03-17T00:05:33.705211
1994,https://www.losmundialesdefutbol.com/partidos/1994_holanda_irlanda.php,Paises Bajos,Wim Jonk,41,normal,2026-03-17T00:05:33.705211
1994,https://www.losmundialesdefutbol.com/partidos/1994_nigeria_italia.php,Nigeria,Emmanuel Amunike,25,normal,2026-03-17T00:05:40.034788
1994,https://www.losmundialesdefutbol.com/partidos/1994_nigeria_italia.php,Italia,Roberto Baggio,89,normal,2026-03-17T00:05:40.034788
1994,https://www.losmundialesdefutbol.com/partidos/1994_nigeria_italia.php,Italia,Roberto Baggio,100,penal,2026-03-17T00:05:40.034788
1994,https://www.losmundialesdefutbol.com/partidos/1994_mexico_bulgaria.php,Bulgaria,Hristo Stoichkov,6,normal,2026-03-17T00:05:43.846643
1994,https://www.losmundialesdefutbol.com/partidos/1994_mexico_bulgaria.php,México,Alberto Garcia Aspe,18,penal,2026-03-17T00:05:43.846643
1994,https://www.losmundialesdefutbol.com/partidos/1994_italia_espana.php,Italia,Dino Baggio,25,normal,2026-03-17T00:05:47.519179
1994,https://www.losmundialesdefutbol.com/partidos/1994_italia_espana.php,España,Jose Luis Caminero,58,normal,2026-03-17T00:05:47.519179
1994,https://www.losmundialesdefutbol.com/partidos/1994_italia_espana.php,Italia,Roberto Baggio,87,normal,2026-03-17T00:05:47.519179
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_suecia.php,Suecia,Tomas Brolin,78,normal,2026-03-17T00:05:52.660024
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_suecia.php,Rumania,Florin Raducioiu,88,normal,2026-03-17T00:05:52.660024
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_suecia.php,Rumania,Florin Raducioiu,101,normal,2026-03-17T00:05:52.660024
